packet_drop_len,mu,theta,rho,lambda,gamma,loss_expiry,buffer_overload_losses,intial15_states,all_empty_states
20,50,0.18,0.1,5.0,9.0,0.155207079343535,1.84990999050759e-24,"[5.73753420e-01 2.69279349e-01 4.94725514e-02 6.20260975e-02
 1.27737220e-02 9.98964232e-03 3.75273312e-03 9.33485958e-03
 2.15145482e-03 1.63481409e-03 7.30689996e-04 1.34780793e-03
 5.02125837e-04 4.40945743e-04 2.54004836e-04]","[5.73753420e-01 2.69279349e-01 6.20260975e-02 9.33485958e-03
 1.03123690e-03 8.90928350e-05 6.26421506e-06 3.68409013e-07
 1.84900355e-08 8.04181432e-10 3.06808098e-11 1.03703022e-12
 3.13134780e-14 8.50653629e-16 2.09173142e-17 4.68070586e-19
 9.57686581e-21 1.79919403e-22 3.11557965e-24 4.99425402e-26
 7.64220821e-28]"
20,50,0.18,0.15,7.5,9.0,0.156665077914314,4.6594903612862676e-21,"[0.43459821 0.30542654 0.05673864 0.10529275 0.02196831 0.01707426
 0.00656684 0.02370387 0.00554411 0.00418229 0.00192002 0.00343823
 0.00130462 0.00114204 0.00068208]","[4.34598207e-01 3.05426539e-01 1.05292749e-01 2.37038735e-02
 3.91490420e-03 5.05387154e-04 5.30694285e-05 4.65904040e-06
 3.48900884e-07 2.26331556e-08 1.28745715e-09 6.48633838e-11
 2.91855136e-12 1.18118882e-13 4.32634718e-15 1.44181057e-16
 4.39285580e-18 1.22881350e-19 3.16827207e-21 7.56942582e-23
 1.75018561e-24]"
20,50,0.18,0.2,10.0,9.0,0.1582218739066659,1.11295035511791e-18,"[0.32919299 0.30789717 0.05787281 0.14118801 0.02986598 0.02305675
 0.00909481 0.04225447 0.01003738 0.00751251 0.00354897 0.00615766
 0.00238188 0.0020779  0.00129055]","[3.29192987e-01 3.07897174e-01 1.41188007e-01 4.22544748e-02
 9.27215905e-03 1.58945853e-03 2.21516669e-04 2.57978997e-05
 2.56167730e-06 2.20257875e-07 1.66009745e-08 1.10786186e-09
 6.60128329e-11 3.53722549e-12 1.71502514e-13 7.56485559e-15
 3.05023433e-16 1.12909546e-17 3.85250687e-19 1.21973896e-20
 3.78799817e-22]"
20,50,0.18,0.25,12.5,9.0,0.1598915083336664,7.312042264773883e-17,"[0.24935221 0.29094848 0.05537403 0.16634268 0.03570488 0.02736238
 0.01109181 0.06203165 0.01497885 0.01111546 0.00541458 0.00908274
 0.00358502 0.00311577 0.00201932]","[2.49352208e-01 2.90948483e-01 1.66342677e-01 6.20316517e-02
 1.69510675e-02 3.61652505e-03 6.26962055e-04 9.07816718e-05
 1.12027786e-05 1.19660717e-06 1.12002132e-07 9.27952804e-09
 6.86295217e-10 4.56352462e-11 2.74531415e-12 1.50227461e-13
 7.51389841e-15 3.45000168e-16 1.46029008e-17 5.74569814e-19
 2.24687851e-20]"
20,50,0.18,0.3,15.0,9.0,0.16169084314521434,2.1233728282700134e-15,"[0.1888756  0.26389358 0.05089909 0.18054959 0.03936173 0.02992215
 0.01249376 0.08052126 0.01978407 0.01454493 0.0073227  0.01184698
 0.00477643 0.0041342  0.00280678]","[1.88875602e-01 2.63893579e-01 1.80549588e-01 8.05212595e-02
 2.62983158e-02 6.70191200e-03 1.38703339e-03 2.39644378e-04
 3.52718125e-05 4.49180411e-06 5.01095699e-07 4.94681497e-08
 4.35829547e-09 3.45168219e-10 2.47276116e-11 1.61119658e-12
 9.59481018e-14 5.24500171e-15 2.64368319e-16 1.24133668e-17
 5.86802763e-19]"
20,50,0.18,0.35,17.5,9.0,0.16364019465925958,3.510142037602636e-14,"[0.14306668 0.23266293 0.04552228 0.18515764 0.04104244 0.03092312
 0.01333466 0.09598676 0.02402282 0.0174817  0.00911988 0.01419169
 0.00585107 0.00504149 0.00360135]","[1.43066682e-01 2.32662933e-01 1.85157636e-01 9.59867611e-02
 3.64168530e-02 1.07741380e-02 2.58725255e-03 5.18408481e-04
 8.84499205e-05 1.30524990e-05 1.68678655e-06 1.92849330e-07
 1.96729422e-08 1.80372041e-09 1.49571260e-10 1.12797160e-11
 7.77391343e-13 4.91811045e-14 2.86974328e-15 1.56383024e-16
 8.68807900e-18]"
20,50,0.18,0.4,20.0,9.0,0.16576408670642861,3.8417249956928507e-13,"[0.10836802 0.20089888 0.03991895 0.1821254  0.04109558 0.03065905
 0.01369533 0.10747617 0.02743153 0.01973958 0.01070159 0.01596952
 0.00674089 0.00577923 0.00436546]","[1.08368023e-01 2.00898881e-01 1.82125403e-01 1.07476172e-01
 4.63855484e-02 1.56017026e-02 4.25690922e-03 9.68679285e-04
 1.87617532e-04 3.14182228e-05 4.60606549e-06 5.97260577e-07
 6.90884563e-08 7.18172911e-09 6.75119755e-10 5.77121308e-11
 4.50840615e-12 3.23300199e-13 2.13921298e-14 1.32567106e-15
 8.47903825e-17]"
20,50,0.18,0.45,22.5,9.0,0.16809212304164523,3.0685935311059633e-12,"[0.082085   0.17071789 0.0344946  0.17349257 0.03990479 0.02944539
 0.01367286 0.11468578 0.02989137 0.02124549 0.01200851 0.01712681
 0.00741102 0.00631866 0.00507539]","[8.20849983e-02 1.70717892e-01 1.73492572e-01 1.14685777e-01
 5.54070602e-02 2.08480257e-02 6.35996544e-03 1.61732500e-03
 3.49920107e-04 6.54344271e-05 1.07093243e-05 1.54990549e-06
 2.00068865e-07 2.32047680e-08 2.43366371e-09 2.32086450e-10
 2.02253367e-11 1.61806193e-12 1.19505966e-13 8.29258941e-15
 6.01087592e-16]"
20,50,0.18,0.5,25.0,9.0,0.17065996067622574,1.9118412117392447e-11,"[0.06217652 0.14323745 0.02947512 0.16110982 0.03783108 0.02757447
 0.01336319 0.11778179 0.03139397 0.02201092 0.01301785 0.01767912
 0.0078528  0.00665418 0.00571915]","[6.21765237e-02 1.43237447e-01 1.61109817e-01 1.17781791e-01
 6.28856425e-02 2.61331935e-02 8.79999851e-03 2.46899564e-03
 5.89136454e-04 1.21461069e-04 2.19111000e-05 3.49454328e-06
 4.97027669e-07 6.35104037e-08 7.33771655e-09 7.70837627e-10
 7.39977919e-11 6.52188208e-12 5.31014634e-13 4.07618033e-14
 3.30705867e-15]"
20,50,0.18,0.55,27.500000000000004,9.0,0.17351033685271158,9.742449549263491e-11,"[0.04709655 0.11893692 0.0249692  0.14652357 0.03518562 0.02529519
 0.0128522  0.11723042 0.03200654 0.02210374 0.01373346 0.01768742
 0.00807621 0.00679656 0.00629364]","[4.70965485e-02 1.18936921e-01 1.46523566e-01 1.17230421e-01
 6.84503168e-02 3.10886742e-02 1.14351575e-02 3.50293823e-03
 9.12261086e-04 2.05211614e-04 4.03821193e-05 7.02422029e-06
 1.08946762e-06 1.51797788e-07 1.91224678e-08 2.19027033e-09
 2.29252213e-10 2.20339943e-11 1.95791495e-12 1.64643398e-13
 1.48015674e-14]"
20,50,0.18,0.6,30.0,9.0,0.1766940598454756,4.2053488332156843e-10,"[0.03567399 0.09790204 0.02101128 0.13094938 0.03222068 0.02280704
 0.01221175 0.11365769 0.03184162 0.02162417 0.01417658 0.01723804
 0.00810312 0.00676691 0.0068017 ]","[3.56739932e-02 9.79020351e-02 1.30949383e-01 1.13657694e-01
 7.19415375e-02 3.53981194e-02 1.40982781e-02 4.67429162e-03
 1.31708093e-03 3.20470719e-04 6.81992733e-05 1.28270816e-05
 2.15098809e-06 3.24007194e-07 4.41249779e-08 5.46372768e-09
 6.18266739e-10 6.42561663e-11 6.17982113e-12 5.64738740e-13
 5.57930481e-14]"
20,50,0.18,0.65,32.5,9.0,0.1802708168296546,1.579089679348557e-09,"[0.02702181 0.07998814 0.0175906  0.11529245 0.02913059 0.02026188
 0.01149892 0.10774463 0.03103332 0.02068638 0.01437821 0.01642741
 0.00796189 0.00659183 0.00724946]","[2.70218058e-02 7.99881435e-02 1.15292449e-01 1.07744631e-01
 7.33772684e-02 3.88224741e-02 1.66178289e-02 5.91911101e-03
 1.79122800e-03 4.67974651e-04 1.06914020e-04 2.15850014e-05
 3.88507122e-06 6.28109879e-07 9.18083461e-08 1.22015099e-08
 1.48204271e-09 1.65376113e-10 1.70950430e-11 1.68638987e-12
 1.81815591e-13]"
20,50,0.18,0.7,35.0,9.0,0.18430958388788113,5.265784798148797e-09,"[0.02046808 0.06492738 0.01467069 0.10018982 0.02605787 0.01776965
 0.01075669 0.10015544 0.02972025 0.01940547 0.01437324 0.0153514
 0.00768333 0.00629988 0.00764397]","[2.04680756e-02 6.49273842e-02 1.00189824e-01 1.00155443e-01
 7.29105110e-02 4.12107648e-02 1.88365145e-02 7.16186346e-03
 2.31284408e-03 6.44701170e-04 1.57127695e-04 3.38388255e-05
 6.49663307e-06 1.12033221e-06 1.74672065e-07 2.47631917e-08
 3.20887796e-09 3.82123735e-10 4.22053149e-11 4.46904544e-12
 5.22695388e-13]"
